split,snapshot_time,score_family,top_k,horizon_min,paired_sessions,leader_session_avg_atr,bottom_session_avg_atr,spread_atr,spread_ci_low,spread_ci_high,positive_spread_session_rate
DEV,10:30,FULL_4,3,120,439,0.11855093001706792,0.01890613290953035,0.0996447971075376,-0.05404945906553857,0.24477663891927748,0.4760820045558087
DEV,10:30,FULL_4,5,60,439,0.11183732389743514,0.04701593536213786,0.06482138853529729,-0.026449342497203966,0.16043407989835887,0.5056947608200456
DEV,10:30,FULL_4,5,120,439,0.11167794274486878,0.01890613290953035,0.09277180983533843,-0.030002359887508233,0.2150063645308201,0.49658314350797267
DEV,11:00,MOMENTUM_ONLY,1,60,449,-0.0839379048055705,-0.02563773701212858,-0.05830016779344191,-0.24052436364560417,0.13339990359371778,0.46770601336302897
DEV,11:00,MOMENTUM_ONLY,1,120,449,-0.18826294624951134,-0.08129988718507308,-0.10696305906443822,-0.3206644635764001,0.1273919110055922,0.49665924276169265
DEV,11:00,MOMENTUM_ONLY,3,60,449,-0.026138881983207258,-0.02563773701212858,-0.0005011449710786785,-0.1178270838120296,0.12752638791123652,0.5100222717149221
DEV,11:00,MOMENTUM_ONLY,3,120,449,-0.04107194247241922,-0.08129988718507308,0.04022794471265383,-0.12574214900045755,0.196715577012029,0.5055679287305123
DEV,11:00,MOMENTUM_ONLY,5,60,449,0.0076642758087096365,-0.02563773701212858,0.03330201282083821,-0.06893457349307186,0.14113084442873466,0.5011135857461024
DEV,11:00,MOMENTUM_ONLY,5,120,449,0.03977356420820159,-0.08129988718507308,0.12107345139327468,-0.007664186709115876,0.25170444884886145,0.5167037861915368
DEV,11:00,MOMENTUM_VOLUME,1,60,439,0.01215979650411805,-0.0270427060322088,0.03920250253632685,-0.1560967388690875,0.22512496177174895,0.47380410022779046
DEV,11:00,MOMENTUM_VOLUME,1,120,439,0.02234981727898172,-0.07572265207283553,0.09807246935181729,-0.1726647188277361,0.38482742692994043,0.4874715261958998
DEV,11:00,MOMENTUM_VOLUME,3,60,439,0.05288435102485339,-0.0270427060322088,0.07992705705706221,-0.040184097894830385,0.2115769752475512,0.5261958997722096
DEV,11:00,MOMENTUM_VOLUME,3,120,439,0.032388724446018875,-0.07572265207283553,0.1081113765188544,-0.05028465301632439,0.2854665745247953,0.4988610478359909
DEV,11:00,MOMENTUM_VOLUME,5,60,439,0.10035138873720062,-0.0270427060322088,0.12739409476940944,0.02231987868956455,0.23011666977820242,0.5261958997722096
DEV,11:00,MOMENTUM_VOLUME,5,120,439,0.08822283398320406,-0.07572265207283553,0.16394548605603962,0.027750349887049854,0.30924791951488834,0.5353075170842825
DEV,11:00,QUALITY_3,1,60,439,-0.02241215274252625,-0.03658938807283099,0.014177235330304705,-0.2000909200535771,0.23775215990898033,0.4646924829157175
DEV,11:00,QUALITY_3,1,120,439,-0.09480101198167955,-0.1000925744106877,0.0052915624290081455,-0.25366251121783895,0.2766048483942112,0.45785876993166286
DEV,11:00,QUALITY_3,3,60,439,0.05222289864041093,-0.03658938807283099,0.0888122867132419,-0.03146419665806248,0.21777587965532763,0.5011389521640092
DEV,11:00,QUALITY_3,3,120,439,0.041915508821876626,-0.1000925744106877,0.14200808323256434,-0.01800942227739409,0.3079026745920647,0.49430523917995445
DEV,11:00,QUALITY_3,5,60,439,0.056188153571353226,-0.03658938807283099,0.09277754164418417,-0.015377569631378235,0.2030982010497404,0.5261958997722096
DEV,11:00,QUALITY_3,5,120,439,0.03839148609519324,-0.1000925744106877,0.13848406050588094,0.008698090329847424,0.2712040757344444,0.5466970387243736
DEV,11:00,FULL_4,1,60,439,0.13526905050305302,-0.030302401110224284,0.1655714516132773,-0.043122907449288754,0.38369957770074076,0.48519362186788156
DEV,11:00,FULL_4,1,120,439,0.12201273826989206,-0.09061552904561793,0.21262826731551002,-0.038084552223607925,0.4810208206070909,0.4988610478359909
DEV,11:00,FULL_4,3,60,439,0.051049258718930374,-0.030302401110224284,0.08135165982915464,-0.0370081509248177,0.20904618866433933,0.489749430523918
DEV,11:00,FULL_4,3,120,439,0.06269124900757098,-0.09061552904561793,0.1533067780531889,-0.018973030438587855,0.3203964290010641,0.4874715261958998
DEV,11:00,FULL_4,5,60,439,0.020219399165240504,-0.030302401110224284,0.05052180027546479,-0.05026961297745717,0.15540411211215283,0.4988610478359909
DEV,11:00,FULL_4,5,120,439,0.018086093251717207,-0.09061552904561793,0.10870162229733514,-0.028946761053078772,0.2520423306934215,0.489749430523918
