split,snapshot_time,score_family,top_k,horizon_min,events,sessions,avg_fwd_atr,median_fwd_atr,positive_rate,session_avg_fwd_atr,session_ci_low,session_ci_high
DEV,10:30,MOMENTUM_VOLUME,5,120,2195,439,0.09791638447543076,-0.06034482758619763,0.4824601366742597,0.09791638447543075,-0.039235580906567556,0.2242241681794279
DEV,10:30,QUALITY_3,1,30,439,439,0.08628172601135893,0.011989723094497716,0.5011389521640092,0.0862817260113589,-0.039298306858405574,0.22006031237689339
DEV,10:30,QUALITY_3,1,60,439,439,0.11817763654753646,0.16878767582049117,0.5353075170842825,0.11817763654753649,-0.044762776375586344,0.2665835821377912
DEV,10:30,QUALITY_3,1,120,439,439,0.0020964652211986974,-0.1489361702127682,0.4624145785876993,0.0020964652211986935,-0.2027124014340288,0.2321494639089726
DEV,10:30,QUALITY_3,3,30,1317,439,0.07481849476606263,-0.02700964630224667,0.4806378132118451,0.07481849476606263,-0.00787525726492186,0.16171616858141827
DEV,10:30,QUALITY_3,3,60,1317,439,0.1328129355150057,0.022257551669321484,0.5026575550493546,0.1328129355150057,0.01912891642553341,0.25301169406608237
DEV,10:30,QUALITY_3,3,120,1317,439,0.13093986753875858,-0.058212058212071836,0.4806378132118451,0.13093986753875858,-0.01850938996171165,0.28243472059144237
DEV,10:30,QUALITY_3,5,30,2194,439,0.10024901372847728,0.0,0.49544211485870554,0.10002298745130246,0.026915249507518547,0.1767284076190726
DEV,10:30,QUALITY_3,5,60,2194,439,0.13871938687408847,0.0,0.495897903372835,0.13838963462600282,0.03278233963560466,0.24727198353360583
DEV,10:30,QUALITY_3,5,120,2194,439,0.12363105103737473,-0.06246768484270236,0.48359161349134,0.12346516319442262,-0.012539978988512434,0.25592748246479646
DEV,10:30,FULL_4,1,30,439,439,0.042852900202913144,-0.0188035954127651,0.4874715261958998,0.04285290020291312,-0.08179403510557501,0.1778394473101536
DEV,10:30,FULL_4,1,60,439,439,0.07991713073393658,-0.00650708807810874,0.489749430523918,0.07991713073393654,-0.07631009807822005,0.2406130310548083
DEV,10:30,FULL_4,1,120,439,439,0.14659071320006675,0.0027381185214259635,0.5011389521640092,0.14659071320006675,-0.05459835162259777,0.3605591691740609
DEV,10:30,FULL_4,3,30,1316,439,0.06566352692128169,-0.014494633105934195,0.48328267477203646,0.06624364785764317,-0.01974568750116921,0.15685247913288616
DEV,10:30,FULL_4,3,60,1316,439,0.11820146181293248,-0.023523975690218565,0.48632218844984804,0.11867195129780486,0.014606231007924176,0.2487826892062748
DEV,10:30,FULL_4,3,120,1316,439,0.1179719389725109,-0.11724165564770483,0.46656534954407297,0.11855093001706792,-0.030835716753055013,0.2694119047690132
DEV,10:30,FULL_4,5,30,2194,439,0.0664991044319494,0.0,0.48906107566089335,0.06647096243252058,-0.010614367421828369,0.14023095971533603
DEV,10:30,FULL_4,5,60,2194,439,0.11202634025413932,-0.01258186258186739,0.48997265268915224,0.11183732389743514,0.01700263257982423,0.20598688239947052
DEV,10:30,FULL_4,5,120,2194,439,0.11190664788209344,-0.09401141049840703,0.4740200546946217,0.11167794274486878,-0.01402351266600361,0.24589796740113634
DEV,11:00,MOMENTUM_ONLY,1,30,449,449,0.05271996211599829,-0.04930073448032994,0.46547884187082406,0.05271996211599828,-0.0721578114579114,0.18399388012086865
DEV,11:00,MOMENTUM_ONLY,1,60,449,449,-0.0839379048055705,-0.15819209039547186,0.4365256124721604,-0.0839379048055705,-0.2786690971411487,0.08660291709426908
DEV,11:00,MOMENTUM_ONLY,1,120,449,449,-0.18826294624951131,-0.2606635071090059,0.43207126948775054,-0.18826294624951134,-0.4040696123831008,0.04091601351344802
DEV,11:00,MOMENTUM_ONLY,3,30,1345,449,0.028052418661649724,-0.01755485893415326,0.47732342007434947,0.02819632638176177,-0.05617728407761171,0.11538881050571896
DEV,11:00,MOMENTUM_ONLY,3,60,1345,449,-0.029281143695060016,-0.11428571428577196,0.45724907063197023,-0.026138881983207258,-0.1504412814870517,0.08826791573098541
DEV,11:00,MOMENTUM_ONLY,3,120,1345,449,-0.045651473970999834,-0.09859154929577511,0.4684014869888476,-0.04107194247241922,-0.20889809855919417,0.12297400100917356
DEV,11:00,MOMENTUM_ONLY,5,30,2243,449,0.027004616383476513,-0.032863849765265754,0.47525635309852876,0.027134181246411718,-0.048891104018579795,0.10471581400902978
DEV,11:00,MOMENTUM_ONLY,5,60,2243,449,0.0065706875267250945,-0.0896286811779768,0.4703522068658047,0.0076642758087096365,-0.09473347399500344,0.11117154671608442
DEV,11:00,MOMENTUM_ONLY,5,120,2243,449,0.03804030811479713,-0.04057971014492112,0.4810521622826572,0.03977356420820159,-0.10648385761450094,0.18594001968033744
DEV,11:00,MOMENTUM_VOLUME,1,30,439,439,0.039551454948910256,-0.09306358381499848,0.4601366742596811,0.039551454948910277,-0.08693823156276997,0.17421074907884695
DEV,11:00,MOMENTUM_VOLUME,1,60,439,439,0.012159796504118053,-0.0595491280306254,0.46697038724373574,0.01215979650411805,-0.16331517683989585,0.20204364554652235
DEV,11:00,MOMENTUM_VOLUME,1,120,439,439,0.022349817278981696,-0.2695883134130159,0.4396355353075171,0.02234981727898172,-0.23312612266016655,0.3187139751879361
DEV,11:00,MOMENTUM_VOLUME,3,30,1317,439,0.06543015550728169,0.0,0.48291571753986334,0.06543015550728169,-0.026003449593343945,0.15588955816158528
DEV,11:00,MOMENTUM_VOLUME,3,60,1317,439,0.0528843510248534,-0.04767309875141117,0.4844343204252088,0.05288435102485339,-0.08335964354151841,0.20275592278985446
DEV,11:00,MOMENTUM_VOLUME,3,120,1317,439,0.032388724446018875,-0.1532447224394151,0.46697038724373574,0.032388724446018875,-0.14325908866609338,0.20757104030232498
DEV,11:00,MOMENTUM_VOLUME,5,30,2195,439,0.08397129051496101,0.0,0.48838268792710704,0.083971290514961,0.007801276589706113,0.15603907274952178
