trend,max_vwap_extension_pct,max_or_extension_atr,rvol_min,max_vwap_extension_pct_dev,max_vwap_extension_pct_validation,max_or_extension_atr_dev,max_or_extension_atr_validation,trades_dev,trades_validation,wins_dev,wins_validation,win_rate_dev,win_rate_validation,profit_factor_dev,profit_factor_validation,expectancy_r_dev,expectancy_r_validation,expectancy_ci_low_dev,expectancy_ci_low_validation,expectancy_ci_high_dev,expectancy_ci_high_validation,gross_pnl_dev,gross_pnl_validation,charges_dev,charges_validation,net_pnl_dev,net_pnl_validation,return_pct_dev,return_pct_validation,max_drawdown_pct_dev,max_drawdown_pct_validation,avg_mfe_r_dev,avg_mfe_r_validation,avg_mae_r_dev,avg_mae_r_validation,passes_min_trades,positive_both,ci_positive_both,robust_gate,worst_split_expectancy_r,total_trades_dev_validation
ON,,,1.5,,,,,343,107,121,33,0.35276967930029157,0.308411214953271,0.7263472976242046,0.6483862173474018,-0.20286791751025443,-0.2679843585273355,-0.33767213859784995,-0.5016978959469895,-0.06837857912760435,-0.02918681979058553,-98860.34846412383,-48300.47057746886,72522.36924139321,22594.828374654604,-171382.71770551708,-70895.29895212346,-34.276543541103415,-14.179059790424692,-36.426349427803714,-15.802826421429703,1.0854883702712552,1.0548237508132898,-0.9472603942149117,-0.9196490454989069,True,False,False,False,-0.2679843585273355,450
OFF,1.0,,3.0,1.0,1.0,,,418,133,162,44,0.3875598086124402,0.3308270676691729,0.8122612078812099,0.62548476569811,-0.1295877349959309,-0.2775759883889065,-0.26400189203365043,-0.47432583966559544,-0.0038442318399063225,-0.06537509535467696,-41967.35092026098,-62535.041151507074,91952.41130575031,28635.195631174145,-133919.7622260113,-91170.23678268123,-26.783952445202264,-18.234047356536244,-28.394306211728367,-18.575252474219276,1.0857946928460582,1.0451397508772051,-0.933264782040368,-0.8940437861940594,True,False,False,False,-0.2775759883889065,551
ON,,0.25,1.5,,,0.25,0.25,152,53,50,15,0.32894736842105265,0.2830188679245283,0.7129762179606476,0.5922544836909496,-0.20421212317553467,-0.2996771334365641,-0.3885882305587579,-0.6137958053689361,0.005929636105454736,0.0490760757273855,-47257.26479083504,-29316.833049494824,29529.682873139904,10070.546460364754,-76786.94766397495,-39387.37950985957,-15.35738953279499,-7.8774759019719145,-17.06787778573828,-8.915743781207432,1.0327624666710893,0.8789641579368261,-0.9153635964261526,-0.8724164595270122,True,False,False,False,-0.2996771334365641,205
ON,,0.25,3.0,,,0.25,0.25,78,46,27,13,0.34615384615384615,0.2826086956521739,0.8089220319797777,0.5821124749555083,-0.12843869082666395,-0.3028812833032026,-0.39279803815621966,-0.6252998814635939,0.15977717801970884,0.06729777576952357,-10769.124731819424,-26051.366252529235,13792.786780969338,8440.210824017306,-24561.91151278876,-34491.57707654655,-4.912382302557751,-6.89831541530931,-6.574656854000074,-7.6837039271935765,1.0797336640030786,0.9135752648067389,-0.8656780087374187,-0.8868115254233816,True,False,False,False,-0.3028812833032026,124
ON,,0.5,3.0,,,0.5,0.5,114,61,45,18,0.39473684210526316,0.29508196721311475,0.8743738382424023,0.5906153052392386,-0.08347108812701648,-0.3048181537467443,-0.3106693066119516,-0.6139400886572323,0.16198500068493213,0.02387567955731888,-2085.2428966243433,-34567.43697517626,20919.74274340551,11751.26919198749,-23004.98564002987,-46318.70616716376,-4.600997128005974,-9.263741233432752,-8.690257068300031,-11.19681533860436,1.0983523334901648,0.9084111571132837,-0.8864407215754782,-0.907315058747314,True,False,False,False,-0.3048181537467443,175
ON,0.75,0.5,3.0,0.75,0.75,0.5,0.5,93,47,37,14,0.3978494623655914,0.2978723404255319,0.9198374671361137,0.592622918005615,-0.05199081731180428,-0.30580131747893546,-0.3332122763714129,-0.6561151663988116,0.1995693389840047,0.05460674053288923,5996.958146136782,-26148.09763597322,17736.843541557715,9574.656835167938,-11739.885395420937,-35722.75447114117,-2.3479770790841874,-7.144550894228234,-8.281829625438693,-9.339411917870349,1.0622528115089382,0.9658467114560447,-0.8946204182083135,-0.8588198001607167,True,False,False,False,-0.30580131747893546,140
ON,,,3.0,,,,,265,97,92,30,0.3471698113207547,0.30927835051546393,0.7162293940672771,0.5976732664022673,-0.20999549119551,-0.306699581857327,-0.3552717801400685,-0.5353530316771731,-0.04177346755859893,-0.05156169703683014,-81184.10572385824,-53776.482029835126,56196.32143120558,20119.220292259713,-137380.4271550638,-73895.70232209483,-27.47608543101276,-14.779140464418965,-27.445425558652587,-17.012620171756147,1.111599647509249,1.0327321728181884,-0.9702011626254463,-0.937907008344903,True,False,False,False,-0.306699581857327,362
OFF,0.75,,3.0,0.75,0.75,,,326,117,119,39,0.36503067484662577,0.3333333333333333,0.7174496365529363,0.5877893109647547,-0.20272559390496336,-0.31073173866956677,-0.3498605472757445,-0.5328363514396712,-0.06272011756929058,-0.08397559976062223,-91319.06683244463,-64470.41740278191,73145.60989926793,25708.65252795569,-164464.6767317126,-90179.06993073759,-32.89293534634252,-18.035813986147517,-37.06673153215865,-18.831066701757695,1.002664411133277,1.0047425264478336,-0.9447571666888047,-0.8960539457042002,True,False,False,False,-0.31073173866956677,443
ON,1.0,,1.5,1.0,1.0,,,303,104,117,30,0.38613861386138615,0.28846153846153844,0.8574205717910517,0.5808346417279081,-0.09961622261204059,-0.3256521648915237,-0.24986893055336357,-0.5561269417791002,0.05234446499628547,-0.07314381438704771,-9639.148382497286,-61307.624305315556,64387.64204458736,22392.494467472905,-74026.79042708465,-83700.11877278847,-14.80535808541693,-16.740023754557694,-22.95594112880514,-18.81494684725965,1.1087060261526345,0.9876465287152316,-0.9239303016580258,-0.907098515698896,True,False,False,False,-0.3256521648915237,407
ON,,0.5,1.5,,,0.5,0.5,207,75,75,21,0.36231884057971014,0.28,0.7649503733558746,0.5499148076729077,-0.16389159420430086,-0.3521858977271737,-0.3409525507266209,-0.6241116770316567,0.007722333851514239,-0.0638722430923568,-43377.074349202936,-50273.88231702034,40438.57209377784,15481.405070541836,-83815.6464429808,-65755.28738756219,-16.76312928859616,-13.151057477512436,-20.21414732043242,-15.199210998781995,1.0637534092561927,0.8979336246142617,-0.9147088925923901,-0.9316169171048356,True,False,False,False,-0.3521858977271737,282
