selection,trades,starting_capital,net_pnl,ending_capital,return_pct,win_rate,total_charges,profit_factor,split,entry_variant,stop_mode,exit_mode
TOP3,139,100000.0,-6699.193202639264,93300.80679736074,-6.699193202639265,0.2805755395683453,4633.169870496898,0.5208014383279291,VALIDATION,VWAP_RECLAIM,ATR1,TIME120
TOP1,63,100000.0,-8284.212042398723,91715.78795760128,-8.28421204239872,0.3333333333333333,4973.282838113566,0.5701078810665893,VALIDATION,VWAP_RECLAIM,ATR1,TARGET2R_EOD
TOP2,112,100000.0,-9189.223846248986,90810.77615375101,-9.189223846248995,0.3392857142857143,5604.031600892399,0.4917389788497378,VALIDATION,VWAP_RECLAIM,ATR1,TARGET2R_EOD
TOP3,140,100000.0,-7529.872284747046,92470.12771525295,-7.529872284747052,0.35,4669.581875104655,0.48577034625657395,VALIDATION,VWAP_RECLAIM,ATR1,TARGET2R_EOD
TOP1,62,100000.0,-6245.839668229998,93754.16033177,-6.245839668229991,0.3548387096774194,4499.072361087616,0.5620914423389745,VALIDATION,VWAP_RECLAIM,ATR1_5,TIME60
TOP2,111,100000.0,-5674.037167957297,94325.9628320427,-5.674037167957302,0.34234234234234234,5601.663378850633,0.6252370295147417,VALIDATION,VWAP_RECLAIM,ATR1_5,TIME60
TOP3,139,100000.0,-4068.745810874886,95931.25418912512,-4.068745810874885,0.3597122302158273,4701.671685339614,0.6511660359682361,VALIDATION,VWAP_RECLAIM,ATR1_5,TIME60
TOP1,59,100000.0,-8315.254681882472,91684.74531811752,-8.315254681882479,0.3389830508474576,4231.981685632908,0.4945937070149112,VALIDATION,VWAP_RECLAIM,ATR1_5,TIME120
TOP2,107,100000.0,-8424.955377496555,91575.04462250344,-8.424955377496557,0.308411214953271,5347.366123747036,0.5434365951067343,VALIDATION,VWAP_RECLAIM,ATR1_5,TIME120
TOP3,136,100000.0,-6394.595487855073,93605.40451214493,-6.394595487855071,0.3161764705882353,4550.918406426944,0.5535781389444443,VALIDATION,VWAP_RECLAIM,ATR1_5,TIME120
TOP1,60,100000.0,-8498.69550129862,91501.30449870139,-8.498695501298615,0.36666666666666664,4325.537011834795,0.5578510311995513,VALIDATION,VWAP_RECLAIM,ATR1_5,TARGET2R_EOD
TOP2,107,100000.0,-9694.12890766518,90305.87109233483,-9.694128907665178,0.34579439252336447,5333.874975522792,0.5276675559147548,VALIDATION,VWAP_RECLAIM,ATR1_5,TARGET2R_EOD
TOP3,136,100000.0,-8336.887210635812,91663.11278936418,-8.336887210635812,0.33088235294117646,4534.662809207653,0.5124423794255659,VALIDATION,VWAP_RECLAIM,ATR1_5,TARGET2R_EOD
TOP1,109,100000.0,-15260.77771814132,84739.22228185867,-15.260777718141327,0.30275229357798167,8501.201557428212,0.5051309173143844,VALIDATION,NEW_HIGH,ATR1,TIME60
TOP2,184,100000.0,-12631.82677681187,87368.17322318813,-12.631826776811872,0.33152173913043476,8867.348802527154,0.5132427227530599,VALIDATION,NEW_HIGH,ATR1,TIME60
TOP3,229,100000.0,-12339.076710337367,87660.92328966263,-12.339076710337359,0.3056768558951965,7361.046262838177,0.4409817381718516,VALIDATION,NEW_HIGH,ATR1,TIME60
TOP1,101,100000.0,-12128.962994251953,87871.03700574805,-12.128962994251957,0.32673267326732675,7924.971412824481,0.6046141649561088,VALIDATION,NEW_HIGH,ATR1,TIME120
TOP2,174,100000.0,-9904.03772840339,90095.96227159661,-9.904037728403392,0.3390804597701149,8577.163414475786,0.6334170146573704,VALIDATION,NEW_HIGH,ATR1,TIME120
TOP3,219,100000.0,-10357.082995433313,89642.91700456668,-10.35708299543332,0.3059360730593607,7145.237037219811,0.5486737154983806,VALIDATION,NEW_HIGH,ATR1,TIME120
TOP1,111,100000.0,-16982.85957132288,83017.14042867711,-16.982859571322884,0.36936936936936937,8616.726075966873,0.4763703663513898,VALIDATION,NEW_HIGH,ATR1,TARGET2R_EOD
TOP2,193,100000.0,-13234.465713042844,86765.53428695716,-13.234465713042843,0.41968911917098445,9233.67154661534,0.5145591839234752,VALIDATION,NEW_HIGH,ATR1,TARGET2R_EOD
TOP3,238,100000.0,-13162.905195780668,86837.09480421933,-13.162905195780661,0.3739495798319328,7603.237906138704,0.43688952375520296,VALIDATION,NEW_HIGH,ATR1,TARGET2R_EOD
TOP1,103,100000.0,-9009.99132525777,90990.00867474223,-9.009991325257772,0.39805825242718446,7655.659821865975,0.6354665004512242,VALIDATION,NEW_HIGH,ATR1_5,TIME60
TOP2,178,100000.0,-11952.217292190588,88047.78270780941,-11.952217292190593,0.38764044943820225,8533.846467012945,0.5324971574114252,VALIDATION,NEW_HIGH,ATR1_5,TIME60
TOP3,223,100000.0,-12057.646721328381,87942.35327867162,-12.057646721328375,0.35874439461883406,7171.571724900568,0.45728533486985523,VALIDATION,NEW_HIGH,ATR1_5,TIME60
TOP1,94,100000.0,-6499.76306067216,93500.23693932783,-6.49976306067217,0.425531914893617,6963.881377637393,0.7430158837698676,VALIDATION,NEW_HIGH,ATR1_5,TIME120
