split,snapshot_time,cohort,benchmark,horizon_min,leader_events,paired_sessions,leader_session_avg_atr,benchmark_session_avg_atr,spread_atr,spread_ci_low,spread_ci_high,positive_spread_session_rate
DEV,10:30,PERSIST_2,BOTTOM50,60,3326,449,0.06631530012713459,0.0481896475159806,0.018125652611153977,-0.053890453094802435,0.09087686052413754,0.48552338530066813
DEV,10:30,PERSIST_2,REST,120,3326,449,0.009863298239179176,0.02903892602804933,-0.019175627788870137,-0.11071325964832092,0.07607496104037312,0.49665924276169265
DEV,10:30,PERSIST_2,BOTTOM50,120,3326,449,0.009863298239179176,0.016535333688632702,-0.006672035449453522,-0.12038197447212286,0.09532173822380684,0.49443207126948774
DEV,10:30,PERSIST_2_CONFIRMED,REST,30,1180,415,0.04904805206495287,0.02275123326983898,0.026296818795113912,-0.05436014946896855,0.10457886274179327,0.5325301204819277
DEV,10:30,PERSIST_2_CONFIRMED,BOTTOM50,30,1180,415,0.04904805206495287,0.02014380446595866,0.02890424759899422,-0.054636963397966,0.11602227895137218,0.5108433734939759
DEV,10:30,PERSIST_2_CONFIRMED,REST,60,1180,415,0.05782117670229366,0.038778874242477245,0.019042302459816418,-0.09862110157906334,0.1411235759045199,0.5349397590361445
DEV,10:30,PERSIST_2_CONFIRMED,BOTTOM50,60,1180,415,0.05782117670229366,0.03864975108893905,0.019171425613354626,-0.10627995109612419,0.14308897670883278,0.5325301204819277
DEV,10:30,PERSIST_2_CONFIRMED,REST,120,1180,415,0.004436965290476794,0.02520596733370042,-0.020769002043223617,-0.17815575611053594,0.12391526424549636,0.4939759036144578
DEV,10:30,PERSIST_2_CONFIRMED,BOTTOM50,120,1180,415,0.004436965290476794,0.01693859609073415,-0.012501630800257374,-0.18225822777934278,0.13755817014157184,0.5012048192771085
DEV,10:30,PERSIST_3,REST,30,2769,449,0.04493394284751611,0.027188429674457358,0.017745513173058756,-0.03128962910829939,0.06880287978048293,0.512249443207127
DEV,10:30,PERSIST_3,BOTTOM50,30,2769,449,0.04493394284751611,0.021140205918530174,0.02379373692898594,-0.03116587514342553,0.07756958857149472,0.5144766146993318
DEV,10:30,PERSIST_3,REST,60,2769,449,0.07097768309935452,0.05150339237765003,0.019474290721704493,-0.05293321609987212,0.09567608013718613,0.5011135857461024
DEV,10:30,PERSIST_3,BOTTOM50,60,2769,449,0.07097768309935452,0.0481896475159806,0.02278803558337392,-0.06641173072722642,0.10317847244639154,0.49443207126948774
DEV,10:30,PERSIST_3,REST,120,2769,449,0.024784359250677686,0.02816535399837203,-0.003380994747694376,-0.09419111183695,0.10064667064516584,0.5167037861915368
DEV,10:30,PERSIST_3,BOTTOM50,120,2769,449,0.024784359250677686,0.016535333688632702,0.008249025562044975,-0.11135504602479376,0.1101194060227519,0.5233853006681515
DEV,10:30,PERSIST_3_CONFIRMED,REST,30,964,393,0.027160588184691165,0.015305190543791411,0.011855397640899759,-0.08587298856656239,0.10696033172268005,0.539440203562341
DEV,10:30,PERSIST_3_CONFIRMED,BOTTOM50,30,964,393,0.027160588184691165,0.01284461238263975,0.014315975802051396,-0.0860587459843855,0.10708123222075742,0.5114503816793893
DEV,10:30,PERSIST_3_CONFIRMED,REST,60,964,393,0.042889257358518604,0.036530690771230556,0.006358566587288045,-0.11481471773788866,0.12100765720031753,0.5292620865139949
DEV,10:30,PERSIST_3_CONFIRMED,BOTTOM50,60,964,393,0.042889257358518604,0.039835800026907564,0.0030534573316110696,-0.1338669188574376,0.1298507567549395,0.5216284987277354
DEV,10:30,PERSIST_3_CONFIRMED,REST,120,964,393,-0.02297808037963832,0.0036158970047098457,-0.026593977384348124,-0.1966137688157169,0.14951477242383765,0.48346055979643765
