split,score_family,top_k,snapshot_time,entry_variant,horizon_min,paired_events,paired_sessions,alt_avg_fwd_atr,immediate_avg_fwd_atr,improvement_atr,session_improvement_atr,improvement_ci_low,improvement_ci_high,improvement_positive_session_rate
VALIDATION,FULL_4,1,11:00,VWAP_RECLAIM,60,19,19,-0.1183295553399017,-0.8980589889589001,0.7797294336189983,0.779729433618998,0.16507585416850015,1.418819822655462,0.631578947368421
VALIDATION,FULL_4,1,11:00,VWAP_RECLAIM,120,19,19,-0.5416607868346925,-1.3058416162972901,0.7641808294625978,0.7641808294625977,0.055351338572090264,1.4468902530001195,0.631578947368421
VALIDATION,FULL_4,3,10:30,VWAP_RECLAIM,30,90,65,-0.016080840724655477,-0.7078780021206974,0.6917971613960419,0.7285569082491216,0.4613103748933675,0.9806558582495717,0.8
VALIDATION,FULL_4,3,10:30,VWAP_RECLAIM,60,90,65,0.08858535978571853,-0.6211984939676796,0.7097838537533981,0.8137719367648472,0.5605241807229461,1.0735661567659156,0.8153846153846154
VALIDATION,FULL_4,3,10:30,VWAP_RECLAIM,120,90,65,0.16456931132030744,-0.5268938045441334,0.691463115864441,0.7523465938876875,0.5125500206983187,1.0129000953640075,0.8
VALIDATION,FULL_4,3,11:00,VWAP_RECLAIM,30,70,54,-0.12407768811066967,-0.6207763173577053,0.4966986292470356,0.5678889098745379,0.23576641494387474,0.9062979335975492,0.6481481481481481
VALIDATION,FULL_4,3,11:00,VWAP_RECLAIM,60,70,54,-0.2947841701050116,-0.766437924918069,0.47165375481305716,0.5465497437299488,0.25143415342183656,0.8631483703486845,0.6296296296296297
VALIDATION,FULL_4,3,11:00,VWAP_RECLAIM,120,70,54,-0.41177180179578227,-0.7092731771088359,0.2975013753130533,0.4003715594113269,0.01716967952905975,0.7911218398451637,0.5740740740740741
VALIDATION,MOMENTUM_ONLY,1,10:30,VWAP_RECLAIM,30,24,24,0.3409942527116508,-0.3877645829273675,0.7287588356390183,0.7287588356390184,0.11299271454295952,1.5362524498766492,0.7083333333333334
VALIDATION,MOMENTUM_ONLY,1,10:30,VWAP_RECLAIM,60,24,24,0.36227704394251625,0.2360545174826719,0.12622252645984436,0.12622252645984436,-0.2859272895353499,0.5346624812465256,0.6666666666666666
VALIDATION,MOMENTUM_ONLY,1,10:30,VWAP_RECLAIM,120,24,24,0.21136144603854146,0.19087939087953523,0.02048205515900618,0.020482055159006123,-0.42810862310408737,0.5007114473140752,0.5416666666666666
VALIDATION,MOMENTUM_ONLY,1,11:00,VWAP_RECLAIM,30,30,30,0.5299284538499234,-0.025720406893821254,0.5556488607437449,0.5556488607437448,0.0871577239335454,1.0524840965628337,0.6333333333333333
VALIDATION,MOMENTUM_ONLY,1,11:00,VWAP_RECLAIM,60,30,30,0.2929138853117639,-0.05928857850407032,0.3522024638158342,0.3522024638158342,-0.10169527784915429,0.7884877009812847,0.5
VALIDATION,MOMENTUM_ONLY,1,11:00,VWAP_RECLAIM,120,30,30,0.07180790163128677,-0.4042679013957987,0.4760758030270856,0.4760758030270856,0.04473601537963208,0.8977036972544437,0.7
VALIDATION,MOMENTUM_ONLY,3,10:30,VWAP_RECLAIM,30,87,61,0.17912601462257585,-0.26890919878959396,0.4480352134121698,0.40209367450426275,0.06043689261936188,0.7451720017735408,0.6721311475409836
VALIDATION,MOMENTUM_ONLY,3,10:30,VWAP_RECLAIM,60,87,61,0.2676253187370387,-0.09724470531235428,0.364870024049393,0.3516666207804405,0.09650467898621043,0.6117889227180938,0.6229508196721312
VALIDATION,MOMENTUM_ONLY,3,10:30,VWAP_RECLAIM,120,87,61,0.14427743797656004,-0.08258250285673219,0.22685994083329225,0.239620173218517,-0.04140705503233816,0.5434156310287547,0.5409836065573771
VALIDATION,MOMENTUM_ONLY,3,11:00,VWAP_RECLAIM,30,84,64,0.28161050753792044,-0.1547961258868355,0.43640663342475594,0.36171378875477456,0.049024798776101,0.6729797454045886,0.671875
VALIDATION,MOMENTUM_ONLY,3,11:00,VWAP_RECLAIM,60,84,64,0.28977018727555953,-0.1366075174669485,0.4263777047425079,0.379330508837892,0.03984959728029345,0.7334074834734258,0.59375
