split,score_family,top_k,snapshot_time,entry_variant,horizon_min,candidates,triggered,trigger_rate,events,sessions,avg_fwd_atr,median_fwd_atr,positive_rate,avg_mfe_atr,avg_mae_atr,avg_entry_delay_min,session_avg_fwd_atr,session_ci_low,session_ci_high
DEV,MOMENTUM_ONLY,3,10:30,VWAP_RECLAIM,30,1347,298,0.2212323682256867,298,220,-0.03225233076996928,-0.001933701657448016,0.47651006711409394,0.9975437939999093,-1.0342833354940675,19.949664429530202,-0.014276010715722815,-0.18719995591975572,0.16158691205386883
DEV,MOMENTUM_ONLY,3,10:30,VWAP_RECLAIM,60,1347,298,0.2212323682256867,298,220,-0.08394896763226234,-0.12377210216109658,0.43288590604026844,1.3233509288171323,-1.3924849913876294,19.949664429530202,-0.08092775608053465,-0.3103540426935437,0.1393261795610255
DEV,MOMENTUM_ONLY,3,10:30,VWAP_RECLAIM,120,1347,298,0.2212323682256867,298,220,-0.2485901052774391,-0.29163172746969773,0.4563758389261745,1.789953533565796,-1.9794710275906489,19.949664429530202,-0.18644949166111843,-0.48998525084362393,0.11806657972921436
DEV,MOMENTUM_ONLY,3,11:00,CONSOLIDATION_BREAKOUT,30,1347,107,0.07943578322197475,107,99,-0.22779739263393506,-0.22400000000000983,0.3925233644859813,1.1319691458891066,-1.184978819532748,29.065420560747665,-0.2126969792623158,-0.46952647518936796,0.04270195194882803
DEV,MOMENTUM_ONLY,3,11:00,CONSOLIDATION_BREAKOUT,60,1347,107,0.07943578322197475,107,99,-0.1888777266692914,-0.25454545454543615,0.42990654205607476,1.4695378224601396,-1.5475827799798472,29.065420560747665,-0.13957391620790818,-0.4546636805149262,0.18181183204765677
DEV,MOMENTUM_ONLY,3,11:00,CONSOLIDATION_BREAKOUT,120,1347,107,0.07943578322197475,107,99,0.046655066010512045,-0.3576642335766674,0.42990654205607476,2.3609498035126557,-2.1905011483548753,29.065420560747665,0.09365729050674315,-0.47431671587745466,0.7301659452181553
DEV,MOMENTUM_ONLY,3,11:00,IMMEDIATE,30,1347,1347,1.0,1345,449,0.03338313295305257,-0.04573414422242225,0.4706319702602231,1.189877816728056,-1.1190330854037913,5.0,0.033715826579078303,-0.058436364433123014,0.12697107586439468
DEV,MOMENTUM_ONLY,3,11:00,IMMEDIATE,60,1347,1347,1.0,1345,449,-0.005550505372690046,-0.09443507588532854,0.47732342007434947,1.5539457332180262,-1.4653579744470582,5.0,-0.002866432971845,-0.13260712844158756,0.11514386022622976
DEV,MOMENTUM_ONLY,3,11:00,IMMEDIATE,120,1347,1347,1.0,1345,449,-0.04650170627488008,-0.11605124340616953,0.4765799256505576,2.0698958007497543,-1.9825568183881452,5.0,-0.042261763376194916,-0.21237227720261145,0.13627072157161418
DEV,MOMENTUM_ONLY,3,11:00,PULLBACK_NEW_HIGH,30,1347,371,0.27542687453600595,371,267,0.07488880184070572,-0.06658739595717154,0.4636118598382749,1.3482287260680685,-1.1802403005151083,22.654986522911052,0.015280402223934423,-0.17051282780059432,0.2220968217044601
