split,confirmation,exit_mode,horizon_min,trades,win_rate,gross_expectancy_r,net_expectancy_r,net_ci_low,net_ci_high,avg_net_pct_1l,avg_net_pnl_1l,median_net_pnl_1l,avg_charges_1l,stop_rate
VALIDATION,ABOVE_OR,TIME,120,108,0.4444444444444444,0.05045474769058101,-0.11852071247162256,-0.4675659233109201,0.2369377979171123,-0.031002883084376428,-31.002883084376453,-71.24117650786549,71.15438086216312,0.0
VALIDATION,ABOVE_OR_VWAP,STOP1R_TIME,30,110,0.44545454545454544,0.07926159335434833,-0.09165322809068148,-0.2667190307462824,0.10314478973274357,-0.013356122107584486,-13.356122107584493,-56.21387326898127,71.91538635566089,0.23636363636363636
VALIDATION,ABOVE_OR_VWAP,STOP1R_TIME,60,108,0.46296296296296297,0.13858424270957231,-0.03155787121956791,-0.23537048348863798,0.2170149028755971,0.01023129501592573,10.231295015925722,-29.227834337791094,71.73421772748486,0.26851851851851855
VALIDATION,ABOVE_OR_VWAP,STOP1R_TIME,120,107,0.411214953271028,0.18721860220803238,0.01698434295197008,-0.2764461005921029,0.3245511952550523,0.023946485887295907,23.94648588729589,-113.96689356047946,71.65783956442705,0.3644859813084112
VALIDATION,ABOVE_OR_VWAP,TIME,30,110,0.4727272727272727,0.07757444250616993,-0.09334491174385366,-0.28922258919936855,0.11373132427347564,-0.009853702735727287,-9.853702735727285,-28.526815204721963,71.91870937209984,0.0
VALIDATION,ABOVE_OR_VWAP,TIME,60,108,0.5,0.09050979270079622,-0.0796204238413231,-0.3409903277837365,0.21474919347208976,-0.004388154487115357,-4.388154487115366,-0.11217370943406024,71.73082096860546,0.0
VALIDATION,ABOVE_OR_VWAP,TIME,120,107,0.4485981308411215,0.06645279557076327,-0.10373861151200242,-0.451977738166763,0.25828443794866457,-0.023457837484973307,-23.45783748497332,-67.17971895780725,71.6402604756365,0.0
VALIDATION,DELAY_ONLY,STOP1R_TIME,30,139,0.39568345323741005,-0.05604709952679638,-0.22241786256035512,-0.38306888095027064,-0.0669743982273345,-0.07539278198736088,-75.39278198736089,-91.93779805165153,70.3335606265564,0.302158273381295
VALIDATION,DELAY_ONLY,STOP1R_TIME,60,136,0.4117647058823529,0.00028626915321154715,-0.16413763975246395,-0.3379893963031071,0.0413230015242119,-0.05378309206973211,-53.7830920697321,-62.18391984064464,70.08119023069543,0.3382352941176471
VALIDATION,DELAY_ONLY,STOP1R_TIME,120,135,0.362962962962963,0.05860106335154563,-0.10586530017305411,-0.36218334695376325,0.13968017316914003,-0.03312366446192065,-33.12366446192066,-204.6246965776752,70.01422225404663,0.4148148148148148
VALIDATION,DELAY_ONLY,TIME,30,139,0.43884892086330934,-0.05003866769399047,-0.21641826572100553,-0.40941512718390427,-0.05244974987424227,-0.06741842882519615,-67.41842882519613,-65.0662419610523,70.339276954701,0.0
VALIDATION,DELAY_ONLY,TIME,60,136,0.45588235294117646,-0.03472201015398266,-0.19914364894802328,-0.4369915633392842,0.053138037321740224,-0.061742229651098046,-61.74222965109806,-45.99990570015635,70.08268935698909,0.0
VALIDATION,DELAY_ONLY,TIME,120,135,0.4074074074074074,-0.03666395225777198,-0.20109266253173683,-0.5039866173606867,0.1098145622707213,-0.07998523912842832,-79.98523912842833,-88.25168890082738,69.99580642473319,0.0
